[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000783s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000921s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_template ] --START--
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000580s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000687s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run ParseTemplate Behavior [ RunTime:0.025684s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025822s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run ContentReplace Behavior [ RunTime:0.000671s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run TokenBuild Behavior [ RunTime:0.000375s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000174s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000787s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002290s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_end ] --START--
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000344s ]
[ 2012-03-09T16:58:01+08:00 ] /Examples/Hello/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000444s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000477s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000615s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_template ] --START--
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000243s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000347s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006443s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006568s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run ContentReplace Behavior [ RunTime:0.000301s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run TokenBuild Behavior [ RunTime:0.000366s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000168s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000470s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001584s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_end ] --START--
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000341s ]
[ 2012-03-09T20:56:38+08:00 ] /Examples/Hello/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000442s ]
[ 2012-03-09T21:15:17+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-09T21:15:17+08:00 ] /Examples/Hello/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000211s ]
[ 2012-03-09T21:15:17+08:00 ] /Examples/Hello/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000337s ]
[ 2012-03-09T21:15:17+08:00 ] /Examples/Hello/ | INFO: Tag[ view_template ] --START--
[ 2012-03-09T21:15:17+08:00 ] /Examples/Hello/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000106s ]
