[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | SQL: INSERT INTO `think_form` (`title`,`content`,`email`,`status`,`create_time`) VALUES ('123','123132','132131@g.c','1',1331205409) [ RunTime:0.000216s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_template ] --START--
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Run LocationTemplate Behavior [ RunTime:0.000123s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_template ] --END-- [ RunTime:0.000227s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_parse ] --START--
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Run ParseTemplate Behavior [ RunTime:0.004808s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004923s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_filter ] --START--
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Run ContentReplace Behavior [ RunTime:0.000175s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Run TokenBuild Behavior [ RunTime:0.000207s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000080s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Run ShowRuntime Behavior [ RunTime:0.000274s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001010s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_end ] --START--
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Run ShowPageTrace Behavior [ RunTime:0.000113s ]
[ 2012-03-08T19:16:49+08:00 ] /Examples/Form/Index/insert | INFO: Tag[ view_end ] --END-- [ RunTime:0.000210s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000206s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000330s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.000882s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.000247s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_template ] --START--
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000128s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000232s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006057s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006173s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run ContentReplace Behavior [ RunTime:0.000228s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run TokenBuild Behavior [ RunTime:0.000354s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000082s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000289s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001244s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_end ] --START--
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000118s ]
[ 2012-03-08T19:16:50+08:00 ] /Examples/Form/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000219s ]
