[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000478s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000607s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.000921s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.000123s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ view_template ] --START--
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000317s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000420s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008818s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008939s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run ContentReplace Behavior [ RunTime:0.000342s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run TokenBuild Behavior [ RunTime:0.000492s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000158s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000455s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001726s ]
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Tag[ view_end ] --START--
[ 2012-03-09T20:17:41+08:00 ] /Examples/Form/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000334s ]
